No,Name,Dex. No.,Type,HP,Atk,Def,Sp. Atk,Sp. Def,Spd,Total,Abilities,Banned,Viable,Mythical,Restricted,SWSH Dex,Forms,Tiering
180,Aerodactyl-Mega,142,Rock Flying,80,135,85,70,95,150,615,Tough Claws,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,15 points
181,Aerodactyl,142,Rock Flying,80,105,65,60,75,130,515,Rock Head Pressure Unnerve,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,9 points
182,Snorlax,143,Normal,160,110,65,65,110,30,540,Immunity Thick Fat Gluttony,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,11 points
183,Articuno-Galar,144,Psychic Flying,90,85,85,125,100,95,580,Competitive,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,5 points
184,Articuno,144,Ice Flying,90,85,100,95,125,85,580,Pressure  Snow Cloak,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,5 points
185,Zapdos,145,Electric Flying,90,90,85,125,90,100,580,Pressure  Static,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,16 points
186,Zapdos-Galar,145,Fighting Flying,90,125,90,85,90,100,580,Defiant,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,14 points
187,Moltres,146,Fire Flying,90,100,90,125,85,90,580,Pressure  Flame Body,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,9 points
188,Moltres-Galar,146,Dark Flying,90,85,90,100,125,90,580,Berserk,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,7 points
189,Dratini,147,Dragon,41,64,45,50,50,50,300,Shed Skin  Marvel Scale,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
190,Dragonair,148,Dragon,61,84,65,70,70,70,420,Shed Skin  Marvel Scale,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
191,Dragonite,149,Dragon Flying,91,134,95,100,100,80,600,Inner Focus  Multiscale,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,13 points
192,Mewtwo,150,Psychic,106,110,90,154,90,130,680,Pressure  Unnerve,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,17 points
193,Mewtwo-Mega Y,150,Psychic,106,150,70,194,120,140,780,Insomnia,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,
194,Mewtwo-Mega X,150,Psychic Fighting,106,190,100,154,100,130,780,Steadfast,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,
195,Mew,151,Psychic,100,100,100,100,100,100,600,Synchronize,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,17 points
196,Chikorita,152,Grass,45,49,65,49,65,45,318,Overgrow  Leaf Guard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
197,Bayleef,153,Grass,60,62,80,63,80,60,405,Overgrow  Leaf Guard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
198,Meganium,154,Grass,80,82,100,83,100,80,525,Overgrow  Leaf Guard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1 point
199,Cyndaquil,155,Fire,39,52,43,60,50,65,309,Blaze  Flash Fire,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
200,Quilava,156,Fire,58,64,58,80,65,80,405,Blaze  Flash Fire,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
201,Typhlosion,157,Fire,78,84,78,109,85,100,534,Blaze  Flash Fire,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3 points
202,Totodile,158,Water,50,65,64,44,48,43,314,Torrent  Sheer Force,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
203,Croconaw,159,Water,65,80,80,59,63,58,405,Torrent  Sheer Force,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
204,Feraligatr,160,Water,85,105,100,79,83,78,530,Torrent  Sheer Force,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8 points
205,Sentret,161,Normal,35,46,34,35,45,20,215,Run Away Keen Eye Frisk,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
206,Furret,162,Normal,85,76,64,45,55,90,415,Run Away Keen Eye Frisk,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
207,Hoothoot,163,Normal Flying,60,30,30,36,56,50,262,Insomnia Keen Eye Tinted Lens,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
208,Noctowl,164,Normal Flying,100,50,50,86,96,70,452,Insomnia Keen Eye Tinted Lens,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1 point
209,Ledyba,165,Bug Flying,40,20,30,40,80,55,265,Swarm Early Bird Rattled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
210,Ledian,166,Bug Flying,55,35,50,55,110,85,390,Swarm Early Bird Iron Fist,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
211,Spinarak,167,Bug Poison,40,60,40,40,40,30,250,Swarm Insomnia Sniper,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
212,Ariados,168,Bug Poison,70,90,70,60,70,40,400,Swarm Insomnia Sniper,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1 point
213,Crobat,169,Poison Flying,85,90,80,70,80,130,535,Inner Focus  Infiltrator,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,10 points
214,Chinchou,170,Water Electric,75,38,38,56,56,67,330,Volt Absorb Illuminate Water Absorb,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
215,Lanturn,171,Water Electric,125,58,58,76,76,67,460,Volt Absorb Illuminate Water Absorb,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5 points
216,Pichu,172,Electric,20,40,15,35,35,60,205,Static  Lightning Rod,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
217,Cleffa,173,Fairy,50,25,28,45,55,15,218,Cute Charm Magic Guard Friend Guard,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
218,Igglybuff,174,Normal Fairy,90,30,15,40,20,15,210,Cute Charm Competitive Friend Guard,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
219,Togepi,175,Fairy,35,20,65,40,65,20,245,Hustle Serene Grace Super Luck,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
220,Togetic,176,Fairy Flying,55,40,85,80,105,40,405,Hustle Serene Grace Super Luck,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2 points
221,Natu,177,Psychic Flying,40,50,45,70,45,70,320,Synchronize Early Bird Magic Bounce,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
222,Xatu,178,Psychic Flying,65,75,70,95,70,95,470,Synchronize Early Bird Magic Bounce,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5 points
223,Mareep,179,Electric,55,40,40,65,45,35,280,Static  Plus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
224,Flaaffy,180,Electric,70,55,55,80,60,45,365,Static  Plus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
225,Ampharos,181,Electric,90,75,85,115,90,55,510,Static  Plus,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1 point
226,Ampharos-Mega,181,Electric Dragon,90,95,105,165,110,45,610,Mold Breaker,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,4 points
227,Bellossom,182,Grass,75,80,95,90,100,50,490,Chlorophyll  Healer,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2 points
228,Marill,183,Water Fairy,70,20,50,20,50,40,250,Thick Fat Huge Power Sap Sipper,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
229,Azumarill,184,Water Fairy,100,50,80,60,80,50,420,Thick Fat Huge Power Sap Sipper,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,12 points
230,Sudowoodo,185,Rock,70,100,115,30,65,30,410,Sturdy Rock Head Rattled,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
231,Politoed,186,Water,90,75,75,90,100,70,500,Water Absorb Damp Drizzle,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,9 points
232,Hoppip,187,Grass Flying,35,35,40,35,55,50,250,Chlorophyll Leaf Guard Infiltrator,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
233,Skiploom,188,Grass Flying,55,45,50,45,65,80,340,Chlorophyll Leaf Guard Infiltrator,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
234,Jumpluff,189,Grass Flying,75,55,70,55,95,110,460,Chlorophyll Leaf Guard Infiltrator,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
235,Aipom,190,Normal,55,70,55,40,55,85,360,Run Away Pickup Skill Link,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
236,Sunkern,191,Grass,30,30,30,30,30,30,180,Chlorophyll Solar Power Early Bird,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
237,Sunflora,192,Grass,75,75,55,105,85,30,425,Chlorophyll Solar Power Early Bird,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
238,Yanma,193,Bug Flying,65,65,45,75,45,95,390,Speed Boost Compound Eyes Frisk,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
239,Wooper,194,Water Ground,55,45,45,25,25,15,210,Damp Water Absorb Unaware,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
240,Quagsire,195,Water Ground,95,85,85,65,65,35,430,Damp Water Absorb Unaware,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4 points
241,Espeon,196,Psychic,65,65,60,130,95,110,525,Synchronize  Magic Bounce,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,7 points
242,Umbreon,197,Dark,95,65,110,60,130,65,525,Synchronize  Inner Focus,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,8 points
243,Murkrow,198,Dark Flying,60,85,42,85,42,91,405,Insomnia Super Luck Prankster,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1 point
244,Slowking-Galar,199,Poison Psychic,95,65,80,110,110,30,490,Curious Medicine Own Tempo Regenerator,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,14 points
245,Slowking,199,Water Psychic,95,75,80,100,110,30,490,Oblivious Own Tempo Regenerator,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,11 points
246,Misdreavus,200,Ghost,60,60,60,85,85,85,435,Levitate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 point
247,Unown,201,Psychic,48,72,48,72,48,48,336,Levitate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
248,Wobbuffet,202,Psychic,190,33,58,33,58,33,405,Shadow Tag  Telepathy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
249,Girafarig,203,Normal Psychic,70,80,65,90,65,85,455,Inner Focus Early Bird Sap Sipper,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
250,Pineco,204,Bug,50,65,90,35,35,15,290,Sturdy  Overcoat,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
251,Forretress,205,Bug Steel,75,90,140,60,60,40,465,Sturdy  Overcoat,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5 points
252,Dunsparce,206,Normal,100,70,70,65,65,45,415,Serene Grace Run Away Rattled,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
253,Gligar,207,Ground Flying,65,75,105,35,65,85,430,Hyper Cutter Sand Veil Immunity,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8 points
254,Steelix-Mega,208,Steel Ground,75,125,230,55,95,30,610,Sand Force,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,6 points
255,Steelix,208,Steel Ground,75,85,200,55,65,30,510,Rock Head Sturdy Sheer Force,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6 points
256,Snubbull,209,Fairy,60,80,50,40,40,30,300,Intimidate Run Away Rattled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
257,Granbull,210,Fairy,90,120,75,60,60,45,450,Intimidate Quick Feet Rattled,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4 points
258,Qwilfish,211,Water Poison,65,95,75,55,55,85,430,Poison Point Swift Swim Intimidate,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6 points
259,Scizor-Mega,212,Bug Steel,70,150,140,65,100,75,600,Technician,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,17 points
260,Scizor,212,Bug Steel,70,130,100,55,80,65,500,Swarm Technician Light Metal,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,14 points
261,Shuckle,213,Bug Rock,20,10,230,10,230,5,505,Sturdy Gluttony Contrary,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2 points
262,Heracross-Mega,214,Bug Fighting,80,185,115,40,105,75,600,Skill Link,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,12 points
263,Heracross,214,Bug Fighting,80,125,75,40,95,85,500,Swarm Guts Moxie,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,10 points
264,Sneasel,215,Dark Ice,55,95,55,35,75,115,430,Inner Focus Keen Eye Pickpocket,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6 points
265,Teddiursa,216,Normal,60,80,50,50,50,40,330,Pickup Quick Feet Honey Gather,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
266,Ursaring,217,Normal,90,130,75,75,75,55,500,Guts Quick Feet Unnerve,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2 points
267,Slugma,218,Fire,40,40,40,70,40,20,250,Magma Armor Flame Body Weak Armor,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
268,Magcargo,219,Fire Rock,50,50,120,80,80,30,410,Magma Armor Flame Body Weak Armor,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
269,Swinub,220,Ice Ground,50,50,40,30,30,50,250,Oblivious Snow Cloak Thick Fat,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
270,Piloswine,221,Ice Ground,100,100,80,60,60,50,450,Oblivious Snow Cloak Thick Fat,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7 points
271,Corsola,222,Water Rock,65,55,95,65,95,35,410,Hustle Natural Cure Regenerator,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
272,Corsola-Galar,222,Ghost,60,55,100,65,100,30,410,Weak Armor  Cursed Body,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,5 points
273,Remoraid,223,Water,35,65,35,65,35,65,300,Hustle Sniper Moody,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
274,Octillery,224,Water,75,105,75,105,75,45,480,Hustle Sniper Moody,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
275,Delibird,225,Ice Flying,45,55,45,65,45,75,330,Vital Spirit Hustle Insomnia,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
276,Mantine,226,Water Flying,85,40,70,80,140,70,485,Swift Swim Water Absorb Water Veil,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6 points
277,Skarmory,227,Steel Flying,65,80,140,40,70,70,465,Keen Eye Sturdy Weak Armor,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,13 points
278,Houndour,228,Dark Fire,45,60,30,80,50,65,330,Early Bird Flash Fire Unnerve,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
279,Houndoom-Mega,229,Dark Fire,75,90,90,140,90,115,600,Solar Power,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,8 points
280,Houndoom,229,Dark Fire,75,90,50,110,80,95,500,Early Bird Flash Fire Unnerve,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2 points
281,Kingdra,230,Water Dragon,75,95,95,95,95,85,540,Swift Swim Sniper Damp,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,10 points
282,Phanpy,231,Ground,90,60,60,40,40,40,330,Pickup  Sand Veil,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
283,Donphan,232,Ground,90,120,120,60,60,50,500,Sturdy  Sand Veil,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9 points
284,Porygon2,233,Normal,85,80,90,105,95,60,515,Trace Download Analytic,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,11 points
285,Stantler,234,Normal,73,95,62,85,65,85,465,Intimidate Frisk Sap Sipper,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
286,Smeargle,235,Normal,55,20,35,20,45,75,250,Own Tempo Technician Moody,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2 points
287,Tyrogue,236,Fighting,35,35,35,35,35,35,210,Guts Steadfast Vital Spirit,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
288,Hitmontop,237,Fighting,50,95,95,35,110,70,455,Intimidate Technician Steadfast,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4 points
289,Smoochum,238,Ice Psychic,45,30,15,85,65,65,305,Oblivious Forewarn Hydration,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
290,Elekid,239,Electric,45,63,37,65,55,95,360,Static  Vital Spirit,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
291,Magby,240,Fire,45,75,37,70,55,83,365,Flame Body  Vital Spirit,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
292,Miltank,241,Normal,95,80,105,40,70,100,490,Thick Fat Scrappy Sap Sipper,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,7 points
293,Blissey,242,Normal,255,10,10,75,135,55,540,Natural Cure Serene Grace Healer,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,11 points
294,Raikou,243,Electric,90,85,75,115,100,115,580,Pressure  Inner Focus,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,11 points
295,Entei,244,Fire,115,115,85,90,75,100,580,Pressure  Inner Focus,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,9 points
296,Suicune,245,Water,100,75,115,90,115,85,580,Pressure  Inner Focus,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,13 points
297,Larvitar,246,Rock Ground,50,64,50,45,50,41,300,Guts  Sand Veil,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
298,Pupitar,247,Rock Ground,70,84,70,65,70,51,410,Shed Skin,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
299,Tyranitar,248,Rock Dark,100,134,110,95,100,61,600,Sand Stream  Unnerve,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,12 points
300,Tyranitar-Mega,248,Rock Dark,100,164,150,95,120,71,700,Sand Stream,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,12 points
301,Lugia,249,Psychic Flying,106,90,130,90,154,110,680,Pressure  Multiscale,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,17 points
302,Ho-Oh,250,Fire Flying,106,130,90,110,154,90,680,Pressure  Regenerator,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,17 points
303,Celebi,251,Psychic Grass,100,100,100,100,100,100,600,Natural Cure,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,11 points
304,Treecko,252,Grass,40,45,35,65,55,70,310,Overgrow  Unburden,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
305,Grovyle,253,Grass,50,65,45,85,65,95,405,Overgrow  Unburden,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
306,Sceptile-Mega,254,Grass Dragon,70,110,75,145,85,145,630,Lightning Rod,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,7 points
307,Sceptile,254,Grass,70,85,65,105,85,120,530,Overgrow  Unburden,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3 points
308,Torchic,255,Fire,45,60,40,70,50,45,310,Blaze  Speed Boost,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
309,Combusken,256,Fire Fighting,60,85,60,85,60,55,405,Blaze  Speed Boost,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
310,Blaziken-Mega,257,Fire Fighting,80,160,80,130,80,100,630,Speed Boost,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,17 points
311,Blaziken,257,Fire Fighting,80,120,70,110,70,80,530,Blaze  Speed Boost,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
312,Mudkip,258,Water,50,70,50,50,50,40,310,Torrent  Damp,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
313,Marshtomp,259,Water Ground,70,85,70,60,70,50,405,Torrent  Damp,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
314,Swampert-Mega,260,Water Ground,100,150,110,95,110,70,635,Swift Swim,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,13 points
315,Swampert,260,Water Ground,100,110,90,85,90,60,535,Torrent  Damp,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,10 points
316,Poochyena,261,Dark,35,55,35,30,30,35,220,Run Away Quick Feet Rattled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
317,Mightyena,262,Dark,70,90,70,60,60,70,420,Intimidate Quick Feet Moxie,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
318,Zigzagoon,263,Normal,38,30,41,30,41,60,240,Pickup Gluttony Quick Feet,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
319,Zigzagoon-Galar,263,Normal Dark,38,30,41,30,41,60,240,Pickup Gluttony Quick Feet,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
320,Linoone-Galar,264,Normal Dark,78,70,61,50,61,100,420,Pickup Gluttony Quick Feet,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
321,Linoone,264,Normal,78,70,61,50,61,100,420,Pickup Gluttony Quick Feet,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5 points
322,Wurmple,265,Bug,45,45,35,20,30,20,195,Shield Dust  Run Away,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
323,Silcoon,266,Bug,50,35,55,25,25,15,205,Shed Skin,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
324,Beautifly,267,Bug Flying,60,70,50,90,50,65,385,Swarm  Rivalry,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
325,Cascoon,268,Bug,50,35,55,25,25,15,205,Shed Skin,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
326,Dustox,269,Bug Poison,60,50,70,50,90,65,385,Shield Dust  Compound Eyes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
327,Lotad,270,Water Grass,40,30,30,40,50,30,220,Swift Swim Rain Dish Own Tempo,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
328,Lombre,271,Water Grass,60,50,50,60,70,50,340,Swift Swim Rain Dish Own Tempo,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
329,Ludicolo,272,Water Grass,80,70,70,90,100,70,480,Swift Swim Rain Dish Own Tempo,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4 points
330,Seedot,273,Grass,40,40,50,30,30,30,220,Chlorophyll Early Bird Pickpocket,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
331,Nuzleaf,274,Grass Dark,70,70,40,60,40,60,340,Chlorophyll Early Bird Pickpocket,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
332,Shiftry,275,Grass Dark,90,100,60,90,60,80,480,Chlorophyll Early Bird Pickpocket,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1 point
333,Taillow,276,Normal Flying,40,55,30,30,30,85,270,Guts  Scrappy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
334,Swellow,277,Normal Flying,60,85,60,75,50,125,455,Guts  Scrappy,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9 points
335,Wingull,278,Water Flying,40,30,30,55,30,85,270,Keen Eye Hydration Rain Dish,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
336,Pelipper,279,Water Flying,60,50,100,85,70,65,430,Keen Eye Drizzle Rain Dish,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,11 points
337,Ralts,280,Psychic Fairy,28,25,25,45,35,40,198,Synchronize Trace Telepathy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
338,Kirlia,281,Psychic Fairy,38,35,35,65,55,50,278,Synchronize Trace Telepathy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
339,Gardevoir-Mega,282,Psychic Fairy,68,85,65,165,135,100,618,Pixilate,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,15 points
340,Gardevoir,282,Psychic Fairy,68,65,65,125,115,80,518,Synchronize Trace Telepathy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,10 points
341,Surskit,283,Bug Water,40,30,32,50,52,65,269,Swift Swim  Rain Dish,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
342,Masquerain,284,Bug Flying,70,60,62,100,82,80,454,Intimidate  Unnerve,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1 point
343,Shroomish,285,Grass,60,40,60,40,60,35,295,Effect Spore Poison Heal Quick Feet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
344,Breloom,286,Grass Fighting,60,130,80,60,60,70,460,Effect Spore Poison Heal Technician,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9 points
345,Slakoth,287,Normal,60,60,60,35,35,30,280,Truant,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
346,Vigoroth,288,Normal,80,80,80,55,55,90,440,Vital Spirit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 point
347,Slaking,289,Normal,150,160,100,95,65,100,670,Truant,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
348,Nincada,290,Bug Ground,31,45,90,30,30,40,266,Compound Eyes  Run Away,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
349,Ninjask,291,Bug Flying,61,90,45,50,50,160,456,Speed Boost  Infiltrator,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1 point
350,Shedinja,292,Bug Ghost,1,90,45,30,30,40,236,Wonder Guard,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
351,Whismur,293,Normal,64,51,23,51,23,28,240,Soundproof  Rattled,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
352,Loudred,294,Normal,84,71,43,71,43,48,360,Soundproof  Scrappy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
353,Exploud,295,Normal,104,91,63,91,63,68,480,Soundproof  Scrappy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5 points
354,Makuhita,296,Fighting,72,60,30,20,30,25,237,Thick Fat Guts Sheer Force,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
355,Hariyama,297,Fighting,144,120,60,40,60,50,474,Thick Fat Guts Sheer Force,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6 points
356,Azurill,298,Normal Fairy,50,20,40,20,40,20,190,Thick Fat Huge Power Sap Sipper,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
357,Nosepass,299,Rock,30,45,135,45,90,30,375,Sturdy Magnet Pull Sand Force,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
358,Skitty,300,Normal,50,45,45,35,35,50,260,Cute Charm Normalize Wonder Skin,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
359,Delcatty,301,Normal,70,65,65,55,55,70,380,Cute Charm Normalize Wonder Skin,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
360,Sableye-Mega,302,Ghost Dark,50,85,125,85,115,20,480,Magic Bounce,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,9 points
361,Sableye,302,Ghost Dark,50,75,75,65,65,50,380,Keen Eye Stall Prankster,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2 points
362,Mawile-Mega,303,Steel Fairy,50,105,125,55,95,50,480,Huge Power,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,17 points
